gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis
LRRC25,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.466,-0.466,0.999976722869729,0.99999999974885,0.466,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
XCL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.399,-0.399,0.998635186295763,0.99999999974885,0.399,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LILRA5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.401,-0.401,0.99913401143195,0.99999999974885,0.401,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ASPHD2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.415,-0.415,0.999613453586187,0.99999999974885,0.415,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMEM132E,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.449,-0.449,0.999250563327631,0.99999999974885,0.449,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C1QB,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.419,-0.419,0.999672927898959,0.99999999974885,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NXPE4,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.425,-0.425,0.999768608957898,0.99999999974885,0.425,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC2A5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.406,-0.406,0.999336845411049,0.99999999974885,0.406,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OS9,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.444,-0.444,0.999187256430887,0.99999999974885,0.444,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IRF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.4,-0.4,0.999022390699548,0.99999999974885,0.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LINC00937,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.407,-0.407,0.998620646631689,0.99999999974885,0.407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SOWAHD,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.4,-0.4,0.99895134143275,0.99999999974885,0.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TNFRSF1B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.533,-0.533,0.999999822164348,0.99999999974885,0.533,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ISCU,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.424,-0.424,0.999751204405135,0.99999999974885,0.424,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KIR2DS4,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.399,-0.399,0.998814654749794,0.99999999974885,0.399,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LY9,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.508,-0.508,0.999998578526922,0.99999999974885,0.508,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FOLR2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.452,-0.452,0.999943149865384,0.99999999974885,0.452,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC25A53,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.409,-0.409,0.999418813617509,0.99999999974885,0.409,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EBF2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.472,-0.472,0.999982104857836,0.99999999974885,0.472,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IL23R,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.451,-0.451,0.999295529799538,0.99999999974885,0.451,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CASQ1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.4,-0.4,0.998939509526279,0.99999999974885,0.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ZNF580,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.436,-0.436,0.9990808154244,0.99999999974885,0.436,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FAM124B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.409,-0.409,0.999417137430357,0.99999999974885,0.409,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FAM161B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.473,-0.473,0.999564738056984,0.99999999974885,0.473,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
JAM2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.47,-0.47,0.999979791554009,0.99999999974885,0.47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DLEC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.441,-0.441,0.99989390167709,0.99999999974885,0.441,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EML5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.472,-0.472,0.999982333675671,0.99999999974885,0.472,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CCDC178,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.406,-0.406,0.999280836485665,0.99999999974885,0.406,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
WHRN,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.436,-0.436,0.999076211292864,0.99999999974885,0.436,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PNPLA1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.406,-0.406,0.99869725516183006,0.99999999974885,0.406,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMEM37,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.437,-0.437,0.99986837916138,0.99999999974885,0.437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KLHL6,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.544,-0.544,0.999999930411879,0.99999999974885,0.544,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TNFAIP6,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.415,-0.415,0.998775185285511,0.99999999974885,0.415,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ARMH1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.458,-0.458,0.999957748925389,0.99999999974885,0.458,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TSHR,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.444,-0.444,0.999908586343632,0.99999999974885,0.444,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HAAO,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.53,-0.53,0.99999972654243,0.99999999974885,0.53,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ITIH4,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.53,-0.53,0.99999974440825,0.99999999974885,0.53,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
XCL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.404,-0.404,0.999126152198599,0.99999999974885,0.404,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LAMP3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.497,-0.497,0.999761794994485,0.99999999974885,0.497,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LTB4R,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.408,-0.408,0.998750089566701,0.99999999974885,0.408,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DLL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.493,-0.493,0.999995094756641,0.99999999974885,0.493,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADH1C,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.449,-0.449,0.999288686139656,0.99999999974885,0.449,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OMG,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.445,-0.445,0.999242180962989,0.99999999974885,0.445,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ITIH5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.446,-0.446,0.999917044885358,0.99999999974885,0.446,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KRT2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.408,-0.408,0.999320503734639,0.99999999974885,0.408,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CRISP3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.423,-0.423,0.999698231276572,0.99999999974885,0.423,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EFCAB3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.419,-0.419,0.999631289439814,0.99999999974885,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OR13A1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.404,-0.404,0.99892273889589,0.99999999974885,0.404,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NLRP4,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.407,-0.407,0.999255365672996,0.99999999974885,0.407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FLCN,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.405,-0.405,0.99894608915233,0.99999999974885,0.405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RBM26-AS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.425,-0.425,0.998970941868397,0.99999999974885,0.425,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
VILL,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.443,-0.443,0.999894605015094,0.99999999974885,0.443,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NBPF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.434,-0.434,0.999826855465697,0.99999999974885,0.434,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CUBN,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.464,-0.464,0.999496676142849,0.99999999974885,0.464,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PPFIBP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.407,-0.407,0.998905997592077,0.99999999974885,0.407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MAP1A,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.436,-0.436,0.999843703473826,0.99999999974885,0.436,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LPL,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.412,-0.412,0.999423550298968,0.99999999974885,0.412,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SHE,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.506,-0.506,0.999998019827754,0.99999999974885,0.506,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FXYD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.407,-0.407,0.999186153212464,0.99999999974885,0.407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
WIPF3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.494,-0.494,0.999746871151769,0.99999999974885,0.494,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.48,-0.48,0.999987945852756,0.99999999974885,0.48,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLFN14,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.442,-0.442,0.999888097602512,0.99999999974885,0.442,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CCL3L3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.428,-0.428,0.999760247612576,0.99999999974885,0.428,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.431,-0.431,0.999793597354786,0.99999999974885,0.431,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DHRS3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.536,-0.536,0.999927812066413,0.99999999974885,0.536,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RAI2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.411,-0.411,0.999306242148784,0.99999999974885,0.411,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DOK5,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.41,-0.41,0.999012796381702,0.99999999974885,0.41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MS4A1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.421,-0.421,0.99962832044205,0.99999999974885,0.421,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PNOC,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.493,-0.493,0.999994250985534,0.99999999974885,0.493,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NFYC,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.44,-0.44,0.999234505788564,0.99999999974885,0.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OLFM1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.409,-0.409,0.999066458929223,0.99999999974885,0.409,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TIGIT,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.413,-0.413,0.999371962344804,0.99999999974885,0.413,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CEBPA,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.509,-0.509,0.999837936218668,0.99999999974885,0.509,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
POU2AF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.544,-0.544,0.99999989601343,0.99999999974885,0.544,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ABHD6,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.414,-0.414,0.999387641802991,0.99999999974885,0.414,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PLCG2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.536,-0.536,0.999927476197241,0.99999999974885,0.536,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ATOH8,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.414,-0.414,0.999007584201475,0.99999999974885,0.414,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RFPL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.411,-0.411,0.999108833244526,0.99999999974885,0.411,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PDC,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.412,-0.412,0.999079511283162,0.99999999974885,0.412,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MEF2B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.485,-0.485,0.999989582503934,0.99999999974885,0.485,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NKX6-1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.433,-0.433,0.999165831468103,0.99999999974885,0.433,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LINC00589,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.454,-0.454,0.999424330474737,0.99999999974885,0.454,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C4BPA,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.479,-0.479,0.999656791626587,0.99999999974885,0.479,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CSMD2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.421,-0.421,0.999053037875555,0.99999999974885,0.421,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ST7-AS2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.418,-0.418,0.9990418456701,0.99999999974885,0.418,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HEPH,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.416,-0.416,0.999050759534819,0.99999999974885,0.416,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PPP1R12C,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.471,-0.471,0.999975576910221,0.99999999974885,0.471,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
P2RX1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.529,-0.529,0.999999589563491,0.99999999974885,0.529,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LINC02694,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.433,-0.433,0.99978870061033,0.99999999974885,0.433,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NXF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.479,-0.479,0.999984550286464,0.99999999974885,0.479,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SPX,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.425,-0.425,0.999668579447732,0.99999999974885,0.425,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MAK,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.429,-0.429,0.999139995823256,0.99999999974885,0.429,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CP,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.524,-0.524,0.999896574886463,0.99999999974885,0.524,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LMOD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.45,-0.45,0.999914218611281,0.99999999974885,0.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GOLGA8IP,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.453,-0.453,0.999928981748653,0.99999999974885,0.453,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RIMS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.465,-0.465,0.9995452028811,0.99999999974885,0.465,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DUSP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.415,-0.415,0.999202687391813,0.99999999974885,0.415,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMEM35A,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.417,-0.417,0.999125221332304,0.99999999974885,0.417,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RNASE6,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.447,-0.447,0.99989936367838,0.99999999974885,0.447,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SMAP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.491,-0.491,0.999992442386689,0.99999999974885,0.491,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TBX19,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.424,-0.424,0.99964168978427,0.99999999974885,0.424,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMEM91,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.494,-0.494,0.999993788520094,0.99999999974885,0.494,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PLEKHO2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.489,-0.489,0.99999100074776,0.99999999974885,0.489,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MYO1H,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.419,-0.419,0.999451462066227,0.99999999974885,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SERPING1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.531,-0.531,0.999999588759559,0.99999999974885,0.531,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LINC00299,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.447,-0.447,0.999375928120686,0.99999999974885,0.447,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
METTL24,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.419,-0.419,0.999176695132015,0.99999999974885,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SEMA5B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.43,-0.43,0.999207395828203,0.99999999974885,0.43,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LINC01546,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.418,-0.418,0.999208690880205,0.99999999974885,0.418,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
POU5F1,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.444,-0.444,0.999347202630411,0.99999999974885,0.444,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TEX11,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.446,-0.446,0.999370250998916,0.99999999974885,0.446,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NIPSNAP3B,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.426,-0.426,0.999635783497733,0.99999999974885,0.426,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
USP6,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.435,-0.435,0.999269207981478,0.99999999974885,0.435,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FNBP4,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.459,-0.459,0.999943917053108,0.99999999974885,0.459,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DERL3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.459,-0.459,0.999943023555774,0.99999999974885,0.459,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
INPP5D,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.569,-0.569,0.999999988074127,0.99999999974885,0.569,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ITK,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.529,-0.529,0.999999497094843,0.99999999974885,0.529,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TNMD,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.437,-0.437,0.999803372653561,0.99999999974885,0.437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SYPL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.463,-0.463,0.999955991085755,0.99999999974885,0.463,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ZNF557,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.45,-0.45,0.999438804882233,0.99999999974885,0.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC30A3,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.498,-0.498,0.999804034830226,0.99999999974885,0.498,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD28,Dys-CIM,NKI.TNBCCL,0.3,2,2,0,NO,0.999999999575738,0.99999999974885,0.545,-0.545,0.999999862641853,0.99999999974885,0.545,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
